Instance	Columns	Time		Instance	Columns	Time
201_2500_NR_0	533	7.83		402_10000_NR_0	2117	117.84
201_2500_NR_1	651	9.49		402_10000_NR_1	1942	91.41
201_2500_NR_2	598	8.13		402_10000_NR_2	1904	82.23
201_2500_NR_3	572	8.07		402_10000_NR_3	1819	84.47
201_2500_NR_4	385	6.17		402_10000_NR_4	1936	102.83
201_2500_NR_5	552	8.57		402_10000_NR_5	2121	116.99
201_2500_NR_6	345	5.61		402_10000_NR_6	1341	64.37
201_2500_NR_7	498	6.64		402_10000_NR_7	1790	80.69
201_2500_NR_8	551	7.72		402_10000_NR_8	1764	81.75
201_2500_NR_9	694	8.77		402_10000_NR_9	2042	95.35
201_2500_NR_10	568	7.92		402_10000_NR_10	2049	97.98
201_2500_NR_11	620	9.04		402_10000_NR_11	1982	96.59
201_2500_NR_12	620	10.41		402_10000_NR_12	1912	93.15
201_2500_NR_13	506	6.56		402_10000_NR_13	1970	101.16
201_2500_NR_14	495	8.73		402_10000_NR_14	1961	94.20
201_2500_NR_15	448	6.73		402_10000_NR_15	1414	62.07
201_2500_NR_16	553	7.04		402_10000_NR_16	2102	108.28
201_2500_NR_17	592	8.62		402_10000_NR_17	2140	101.38
201_2500_NR_18	620	9.72		402_10000_NR_18	1593	74.51
201_2500_NR_19	383	6.51		402_10000_NR_19	1868	75.68
201_2500_NR_20	521	7.03		402_10000_NR_20	1768	80.40
201_2500_NR_21	569	8.04		402_10000_NR_21	1890	88.51
201_2500_NR_22	594	9.11		402_10000_NR_22	1614	82.39
201_2500_NR_23	473	8.30		402_10000_NR_23	1749	96.96
201_2500_NR_24	592	10.14		402_10000_NR_24	1838	107.46
201_2500_NR_25	547	8.64		402_10000_NR_25	2149	154.72
201_2500_NR_26	560	9.89		402_10000_NR_26	1935	117.02
201_2500_NR_27	626	9.27		402_10000_NR_27	1836	107.89
201_2500_NR_28	469	7.21		402_10000_NR_28	2006	127.82
201_2500_NR_29	556	9.14		402_10000_NR_29	1983	110.47
201_2500_NR_30	627	10.87		402_10000_NR_30	1608	93.76
201_2500_NR_31	476	6.50		402_10000_NR_31	1830	107.26
201_2500_NR_32	542	9.31		402_10000_NR_32	1864	107.38
201_2500_NR_33	479	7.10		402_10000_NR_33	1603	99.58
201_2500_NR_34	464	6.54		402_10000_NR_34	1889	117.03
201_2500_NR_35	541	8.35		402_10000_NR_35	1954	129.27
201_2500_NR_36	453	7.32		402_10000_NR_36	1249	66.19
201_2500_NR_37	665	9.66		402_10000_NR_37	1936	109.21
201_2500_NR_38	510	6.85		402_10000_NR_38	1936	123.28
201_2500_NR_39	477	6.00		402_10000_NR_39	1788	80.50
201_2500_NR_40	575	9.74		402_10000_NR_40	1842	90.41
201_2500_NR_41	648	8.83		402_10000_NR_41	1872	89.10
201_2500_NR_42	530	9.95		402_10000_NR_42	1883	100.52
201_2500_NR_43	591	8.81		402_10000_NR_43	1709	85.29
201_2500_NR_44	422	6.73		402_10000_NR_44	1899	88.02
201_2500_NR_45	518	6.58		402_10000_NR_45	1709	80.88
201_2500_NR_46	497	6.95		402_10000_NR_46	1856	85.72
201_2500_NR_47	514	8.41		402_10000_NR_47	1604	73.11
201_2500_NR_48	619	10.24		402_10000_NR_48	1918	85.24
201_2500_NR_49	558	8.15		402_10000_NR_49	1832	101.42
