Instance	Columns	Time		Instance	Columns	Time		Instance	Columns	Time		Instance	Columns	Time		Instance	Columns	Time
201_2500_NR_0	533	7.8		402_10000_NR_0	2117	117.8		600_20000_NR_0	911	92.7		801_40000_NR_0	5487	1030.9		1002_80000_NR_2	680	249.9
201_2500_NR_1	651	9.5		402_10000_NR_1	1942	91.4		600_20000_NR_1	662	85.9		801_40000_NR_4	4789	783.2		1002_80000_NR_4	1280	329.5
201_2500_NR_2	598	8.1		402_10000_NR_2	1904	82.2		600_20000_NR_2	228	39.8		801_40000_NR_5	4856	855.5		1002_80000_NR_5	997	278.8
201_2500_NR_3	572	8.1		402_10000_NR_3	1819	84.5		600_20000_NR_3	930	114.0		801_40000_NR_6	4472	791.0		1002_80000_NR_11	1379	362.8
201_2500_NR_4	385	6.2		402_10000_NR_4	1936	102.8		600_20000_NR_4	984	97.1		801_40000_NR_9	4295	729.0		1002_80000_NR_14	1252	437.1
201_2500_NR_5	552	8.6		402_10000_NR_5	2121	117.0		600_20000_NR_5	885	108.8		801_40000_NR_11	5212	956.0		1002_80000_NR_15	1893	536.7
201_2500_NR_6	345	5.6		402_10000_NR_6	1341	64.4		600_20000_NR_6	935	115.1		801_40000_NR_14	4268	663.6		1002_80000_NR_20	453	219.6
201_2500_NR_7	498	6.6		402_10000_NR_7	1790	80.7		600_20000_NR_7	883	128.5		801_40000_NR_17	4695	842.2		1002_80000_NR_21	1053	355.3
201_2500_NR_8	551	7.7		402_10000_NR_8	1764	81.8		600_20000_NR_8	951	108.4		801_40000_NR_19	4040	696.9		1002_80000_NR_23	682	238.6
201_2500_NR_9	694	8.8		402_10000_NR_9	2042	95.4		600_20000_NR_9	495	57.3		801_40000_NR_20	4220	695.4		1002_80000_NR_26	810	252.0
201_2500_NR_10	568	7.9		402_10000_NR_10	2049	98.0		600_20000_NR_10	935	107.6		801_40000_NR_21	5047	977.5		1002_80000_NR_28	898	276.9
201_2500_NR_11	620	9.0		402_10000_NR_11	1982	96.6		600_20000_NR_11	821	113.4		801_40000_NR_22	5366	937.8		1002_80000_NR_32	796	292.1
201_2500_NR_12	620	10.4		402_10000_NR_12	1912	93.2		600_20000_NR_12	899	96.5		801_40000_NR_24	5404	942.4		1002_80000_NR_38	696	238.5
201_2500_NR_13	506	6.6		402_10000_NR_13	1970	101.2		600_20000_NR_13	825	88.2		801_40000_NR_29	4331	734.2		1002_80000_NR_40	756	273.2
201_2500_NR_14	495	8.7		402_10000_NR_14	1961	94.2		600_20000_NR_14	734	63.7		801_40000_NR_30	4909	816.8		1002_80000_NR_41	1006	337.5
201_2500_NR_15	448	6.7		402_10000_NR_15	1414	62.1		600_20000_NR_15	430	51.1		801_40000_NR_31	4989	818.2		1002_80000_NR_43	1327	437.6
201_2500_NR_16	553	7.0		402_10000_NR_16	2102	108.3		600_20000_NR_16	929	98.2		801_40000_NR_33	4177	696.6		1002_80000_NR_49	1153	335.1
201_2500_NR_17	592	8.6		402_10000_NR_17	2140	101.4		600_20000_NR_17	786	91.1		801_40000_NR_37	4526	725.3				
201_2500_NR_18	620	9.7		402_10000_NR_18	1593	74.5		600_20000_NR_18	327	50.5		801_40000_NR_41	4138	731.8				
201_2500_NR_19	383	6.5		402_10000_NR_19	1868	75.7		600_20000_NR_19	853	98.6		801_40000_NR_43	5024	902.5				
201_2500_NR_20	521	7.0		402_10000_NR_20	1768	80.4		600_20000_NR_20	867	88.4		801_40000_NR_44	4213	713.8				
201_2500_NR_21	569	8.0		402_10000_NR_21	1890	88.5		600_20000_NR_21	505	64.2		801_40000_NR_45	4845	779.9				
201_2500_NR_22	594	9.1		402_10000_NR_22	1614	82.4		600_20000_NR_22	842	105.4		801_40000_NR_46	4638	752.9				
201_2500_NR_23	473	8.3		402_10000_NR_23	1749	97.0		600_20000_NR_23	930	94.0		801_40000_NR_48	5077	785.8				
201_2500_NR_24	592	10.1		402_10000_NR_24	1838	107.5		600_20000_NR_24	930	106.0								
201_2500_NR_25	547	8.6		402_10000_NR_25	2149	154.7		600_20000_NR_25	871	111.9								
201_2500_NR_26	560	9.9		402_10000_NR_26	1935	117.0		600_20000_NR_26	1121	145.8								
201_2500_NR_27	626	9.3		402_10000_NR_27	1836	107.9		600_20000_NR_27	1080	125.7								
201_2500_NR_28	469	7.2		402_10000_NR_28	2006	127.8		600_20000_NR_28	193	36.0								
201_2500_NR_29	556	9.1		402_10000_NR_29	1983	110.5		600_20000_NR_29	825	110.5								
201_2500_NR_30	627	10.9		402_10000_NR_30	1608	93.8		600_20000_NR_30	824	105.8								
201_2500_NR_31	476	6.5		402_10000_NR_31	1830	107.3		600_20000_NR_31	892	104.7								
201_2500_NR_32	542	9.3		402_10000_NR_32	1864	107.4		600_20000_NR_32	902	116.3								
201_2500_NR_33	479	7.1		402_10000_NR_33	1603	99.6		600_20000_NR_33	945	92.5								
201_2500_NR_34	464	6.5		402_10000_NR_34	1889	117.0		600_20000_NR_34	665	72.5								
201_2500_NR_35	541	8.4		402_10000_NR_35	1954	129.3		600_20000_NR_35	655	77.5								
201_2500_NR_36	453	7.3		402_10000_NR_36	1249	66.2		600_20000_NR_36	871	109.5								
201_2500_NR_37	665	9.7		402_10000_NR_37	1936	109.2		600_20000_NR_37	670	82.2								
201_2500_NR_38	510	6.9		402_10000_NR_38	1936	123.3		600_20000_NR_38	1031	115.0								
201_2500_NR_39	477	6.0		402_10000_NR_39	1788	80.5		600_20000_NR_39	435	55.9								
201_2500_NR_40	575	9.7		402_10000_NR_40	1842	90.4		600_20000_NR_40	834	92.7								
201_2500_NR_41	648	8.8		402_10000_NR_41	1872	89.1		600_20000_NR_41	752	85.8								
201_2500_NR_42	530	10.0		402_10000_NR_42	1883	100.5		600_20000_NR_42	960	112.2								
201_2500_NR_43	591	8.8		402_10000_NR_43	1709	85.3		600_20000_NR_43	351	48.2								
201_2500_NR_44	422	6.7		402_10000_NR_44	1899	88.0		600_20000_NR_44	851	117.9								
201_2500_NR_45	518	6.6		402_10000_NR_45	1709	80.9		600_20000_NR_45	906	124.1								
201_2500_NR_46	497	7.0		402_10000_NR_46	1856	85.7		600_20000_NR_46	845	111.7								
201_2500_NR_47	514	8.4		402_10000_NR_47	1604	73.1		600_20000_NR_47	464	69.9								
201_2500_NR_48	619	10.2		402_10000_NR_48	1918	85.2		600_20000_NR_48	974	112.6								
201_2500_NR_49	558	8.2		402_10000_NR_49	1832	101.4		600_20000_NR_49	847	106.2		
